,0,1,2,3
0,1,1,0.47463980327615485,0.10561007763292808
1,1,4,0.514713416102744,0.14535797752517524
2,1,7,0.510284662777066,0.16146524925004327
3,1,10,0.4815849534858039,0.17642855640339297
4,1,13,0.46994730007286467,0.18440959959987918
5,4,1,0.4900939299976194,0.11031763550372505
6,4,4,0.535751922678408,0.15053541616703026
7,4,7,0.5269113742400596,0.16482895248295162
8,4,10,0.4903232741466841,0.18738297856627667
9,4,13,0.4736181164613526,0.19268857877717485
10,7,1,0.545244204487025,0.13561170172889073
11,7,4,0.5493365127847887,0.15143039591315455
12,7,7,0.553194353136469,0.1773736363099297
13,7,10,0.4956875328952954,0.1991562212045582
14,7,13,0.4624774067415621,0.1984361956703211
15,10,1,0.4958041750910137,0.12106190625663563
16,10,4,0.5193434088373656,0.1518519300376573
17,10,7,0.5440420645175508,0.17817578260076267
18,10,10,0.5210090294912388,0.18883905473653764
19,10,13,0.47444973376193167,0.20663684706822638
20,13,1,0.5261788115026954,0.1278578699826042
21,13,4,0.5306301512751698,0.16549445367152096
22,13,7,0.5558424206950082,0.18339044177393057
23,13,10,0.5118300463877188,0.20499732041114768
24,13,13,0.5088723276975718,0.21912364209261492
