,factors,regularization,iterations,rank_score,pop_score
276,80,60,15,0.107060278,0.080133403
180,16,60,15,0.10715304,0.080133403
228,20,60,15,0.107154349,0.080133403
132,12,60,15,0.107202028,0.080133403
84,8,60,15,0.107267941,0.080133403
36,4,60,15,0.107405283,0.080133403
571,440,75,300,0.110232376,0.080133403
379,200,75,300,0.110233334,0.080133403
427,260,75,300,0.110233711,0.080133403
283,80,75,300,0.110234014,0.080133403
331,140,75,300,0.11023414,0.080133403
139,12,75,300,0.110234265,0.080133403
91,8,75,300,0.110234668,0.080133403
235,20,75,300,0.110234719,0.080133403
187,16,75,300,0.110234845,0.080133403
43,4,75,300,0.110235172,0.080133403
523,380,75,300,0.110238824,0.080133403
42,4,75,75,0.110239152,0.080133403
475,320,75,300,0.110240436,0.080133403
426,260,75,75,0.110241519,0.080133403
90,8,75,75,0.11024157,0.080133403
522,380,75,75,0.110242174,0.080133403
282,80,75,75,0.11024293,0.080133403
330,140,75,75,0.110243005,0.080133403
378,200,75,75,0.110243559,0.080133403
186,16,75,75,0.110243912,0.080133403
234,20,75,75,0.110245272,0.080133403
138,12,75,75,0.110245801,0.080133403
474,320,75,75,0.110248748,0.080133403
570,440,75,75,0.11024905,0.080133403
233,20,75,45,0.110249931,0.080133403
569,440,75,45,0.110251946,0.080133403
329,140,75,45,0.110256732,0.080133403
281,80,75,45,0.110258344,0.080133403
377,200,75,45,0.110259779,0.080133403
89,8,75,45,0.110260787,0.080133403
521,380,75,45,0.110260988,0.080133403
473,320,75,45,0.110261668,0.080133403
424,260,75,15,0.110261719,0.080133403
425,260,75,45,0.11026182,0.080133403
185,16,75,45,0.110263029,0.080133403
137,12,75,45,0.110263608,0.080133403
41,4,75,45,0.110273783,0.080133403
472,320,75,15,0.110280483,0.080133403
568,440,75,15,0.110285319,0.080133403
520,380,75,15,0.110286905,0.080133403
328,140,75,15,0.11030373,0.080133403
376,200,75,15,0.110310959,0.080133403
184,16,75,15,0.110359543,0.080133403
232,20,75,15,0.110398129,0.080133403
280,80,75,15,0.110403746,0.080133403
88,8,75,15,0.110434826,0.080133403
136,12,75,15,0.110516557,0.080133403
40,4,75,15,0.110794919,0.080133403
12,4,10,15,0.110856298,0.080133403
14,4,10,75,0.110934604,0.080133403
15,4,10,300,0.111398616,0.080133403
13,4,10,45,0.111439443,0.080133403
93,8,90,45,0.112137918,0.080133403
383,200,90,300,0.112138346,0.080133403
527,380,90,300,0.112138447,0.080133403
382,200,90,75,0.112138698,0.080133403
335,140,90,300,0.112138724,0.080133403
431,260,90,300,0.112138749,0.080133403
237,20,90,45,0.112138875,0.080133403
190,16,90,75,0.112139026,0.080133403
478,320,90,75,0.112139076,0.080133403
141,12,90,45,0.112139101,0.080133403
526,380,90,75,0.112139202,0.080133403
574,440,90,75,0.112139278,0.080133403
287,80,90,300,0.112139303,0.080133403
573,440,90,45,0.112139404,0.080133403
479,320,90,300,0.112139504,0.080133403
575,440,90,300,0.112139605,0.080133403
95,8,90,300,0.11213963,0.080133403
286,80,90,75,0.112139656,0.080133403
525,380,90,45,0.112139756,0.080133403
239,20,90,300,0.112139782,0.080133403
381,200,90,45,0.112139882,0.080133403
430,260,90,75,0.112139907,0.080133403
333,140,90,45,0.112139933,0.080133403
189,16,90,45,0.112140008,0.080133403
238,20,90,75,0.112140059,0.080133403
143,12,90,300,0.112140109,0.080133403
142,12,90,75,0.11214031,0.080133403
94,8,90,75,0.112140361,0.080133403
191,16,90,300,0.112140361,0.080133403
334,140,90,75,0.112140436,0.080133403
46,4,90,75,0.112140613,0.080133403
429,260,90,45,0.112140638,0.080133403
47,4,90,300,0.112140663,0.080133403
477,320,90,45,0.11214099,0.080133403
285,80,90,45,0.112141167,0.080133403
45,4,90,45,0.112151569,0.080133403
572,440,90,15,0.112177587,0.080133403
476,320,90,15,0.112179576,0.080133403
524,380,90,15,0.112185621,0.080133403
380,200,90,15,0.112189424,0.080133403
428,260,90,15,0.112194033,0.080133403
332,140,90,15,0.112214435,0.080133403
284,80,90,15,0.112221713,0.080133403
140,12,90,15,0.112310723,0.080133403
188,16,90,15,0.112331048,0.080133403
236,20,90,15,0.112341652,0.080133403
92,8,90,15,0.112388298,0.080133403
44,4,90,15,0.11259377,0.080133403
66,8,100,75,0.112967916,0.080133403
547,440,100,300,0.112967967,0.080133403
451,320,100,300,0.112968017,0.080133403
163,16,100,300,0.112968067,0.080133403
355,200,100,300,0.112968118,0.080133403
162,16,100,75,0.112968445,0.080133403
17,4,100,45,0.112968496,0.080133403
499,380,100,300,0.112968521,0.080133403
211,20,100,300,0.112968697,0.080133403
259,80,100,300,0.112968823,0.080133403
307,140,100,300,0.112968848,0.080133403
403,260,100,300,0.112968873,0.080133403
67,8,100,300,0.112968924,0.080133403
115,12,100,300,0.112969352,0.080133403
18,4,100,75,0.112969453,0.080133403
19,4,100,300,0.112969528,0.080133403
114,12,100,75,0.112969579,0.080133403
258,80,100,75,0.112969579,0.080133403
402,260,100,75,0.112969579,0.080133403
306,140,100,75,0.112969931,0.080133403
450,320,100,75,0.112970032,0.080133403
210,20,100,75,0.112970082,0.080133403
498,380,100,75,0.112970133,0.080133403
546,440,100,75,0.112970208,0.080133403
354,200,100,75,0.112970511,0.080133403
113,12,100,45,0.112972727,0.080133403
257,80,100,45,0.11297381,0.080133403
353,200,100,45,0.112973986,0.080133403
449,320,100,45,0.112974465,0.080133403
497,380,100,45,0.112974641,0.080133403
401,260,100,45,0.112975674,0.080133403
545,440,100,45,0.112975674,0.080133403
209,20,100,45,0.112975724,0.080133403
161,16,100,45,0.112975825,0.080133403
305,140,100,45,0.112975951,0.080133403
65,8,100,45,0.112978495,0.080133403
544,440,100,15,0.113081911,0.080133403
496,380,100,15,0.113091885,0.080133403
400,260,100,15,0.113099365,0.080133403
448,320,100,15,0.113099617,0.080133403
352,200,100,15,0.113109943,0.080133403
256,80,100,15,0.113135785,0.080133403
304,140,100,15,0.11313654,0.080133403
112,12,100,15,0.11325867,0.080133403
208,20,100,15,0.113258998,0.080133403
64,8,100,15,0.113267133,0.080133403
160,16,100,15,0.113273379,0.080133403
16,4,100,15,0.113383445,0.080133403
10,4,1,75,0.117333809,0.080133403
11,4,1,300,0.117547064,0.080133403
7,4,0.1,300,0.118053818,0.080133403
2,4,0.01,75,0.118178894,0.080133403
110,12,10,75,0.118575684,0.080133403
62,8,10,75,0.118773096,0.080133403
4,4,0.1,15,0.118986981,0.080133403
495,380,10,300,0.119042416,0.080133403
447,320,10,300,0.119042819,0.080133403
543,440,10,300,0.119049468,0.080133403
399,260,10,300,0.119056193,0.080133403
542,440,10,75,0.119066872,0.080133403
63,8,10,300,0.119076267,0.080133403
494,380,10,75,0.119079315,0.080133403
446,320,10,75,0.119104098,0.080133403
398,260,10,75,0.119163387,0.080133403
541,440,10,45,0.119173437,0.080133403
493,380,10,45,0.119197213,0.080133403
445,320,10,45,0.11924474,0.080133403
61,8,10,45,0.119261716,0.080133403
397,260,10,45,0.119306321,0.080133403
9,4,1,45,0.119503154,0.080133403
1,4,0.01,45,0.11997971,0.080133403
0,4,0.01,15,0.119988651,0.080133403
